ticker_field,first_any,first_daily_year,n
LT01TRUU Index|INDEX_OAS_TSY,2002-09-17,2003,6031
LT01TRUU Index|INDEX_YIELD_TO_WORST,1992-02-28,1997,7425
LT01TRUU Index|INDEX_OAD_TSY,1997-07-24,1998,7316
LT13TRUU Index|INDEX_OAS_TSY,1992-01-31,2007,5134
LT13TRUU Index|INDEX_YIELD_TO_WORST,1992-01-31,2007,5134
LT13TRUU Index|INDEX_OAD_TSY,1992-01-31,2007,5134
LT09TRUU Index|INDEX_OAS_TSY,2002-09-17,2003,6031
LT09TRUU Index|INDEX_YIELD_TO_WORST,1992-02-28,1997,7425
LT09TRUU Index|INDEX_OAD_TSY,1997-07-24,1998,7316
LUTLTRUU Index|INDEX_OAS_TSY,2002-09-17,2003,6031
LUTLTRUU Index|INDEX_YIELD_TO_WORST,1973-01-31,1994,8426
LUTLTRUU Index|INDEX_OAD_TSY,1997-07-24,1998,7318
LT11TRUU Index|INDEX_OAS_TSY,2002-09-17,2003,6031
LT11TRUU Index|INDEX_YIELD_TO_WORST,1992-02-28,1994,8190
LT11TRUU Index|INDEX_OAD_TSY,1997-07-24,1998,7316
LUACTRUU Index|INDEX_OAS_TSY,2002-09-17,2003,6031
LUACTRUU Index|INDEX_YIELD_TO_WORST,1973-01-31,1989,9651
LUACTRUU Index|INDEX_OAD_TSY,1997-07-24,1998,7318
LDC5TRUU Index|INDEX_OAS_TSY,1990-01-31,2004,6004
LDC5TRUU Index|INDEX_YIELD_TO_WORST,1990-01-31,2004,6004
LDC5TRUU Index|INDEX_OAD_TSY,1990-01-31,2004,6004
LF98TRUU Index|INDEX_OAS_TSY,2002-09-17,2003,6031
LF98TRUU Index|INDEX_YIELD_TO_WORST,1983-07-29,1999,7235
LF98TRUU Index|INDEX_OAD_TSY,1997-08-29,1999,7064
I00183US Index|INDEX_OAS_TSY,2002-09-17,2003,6031
I00183US Index|INDEX_YIELD_TO_WORST,1983-07-29,1999,7235
I00183US Index|INDEX_OAD_TSY,1997-08-29,1999,7064
I00184US Index|INDEX_OAS_TSY,2002-09-17,2003,6031
I00184US Index|INDEX_YIELD_TO_WORST,1983-07-29,1999,7235
I00184US Index|INDEX_OAD_TSY,1997-08-29,1999,7064
I00185US Index|INDEX_OAS_TSY,2002-09-17,2003,6031
I00185US Index|INDEX_YIELD_TO_WORST,1983-07-29,1999,7235
I00185US Index|INDEX_OAD_TSY,1997-08-29,1999,7064
