ticker,Bloomberg Security Name,Section,first_any,first_daily,tier_by_daily_start,likely_price_only
LD20TRUU,Bloomberg US Treasury Bills To,1. Risk-Free / Cash,1991-12-31,1998-01-02,backbone,False
MXEU0EN,MSCI Europe Energy Sector Inde,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0MT,MSCI Europe Materials Sector I,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0IN,MSCI Europe Industrials Index,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0CD,MSCI Europe Consumer Discretio,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0CS,MSCI Europe Consumer Staples I,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0HC,MSCI Europe Health Care Index,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0FN,MSCI Europe Financials Index,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0IT,MSCI Europe Information Techno,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0TC,MSCI Europe Communication Serv,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0UT,MSCI Europe Utilities Sector I,10. European Sectors (MSCI Europe),1995-01-02,1995-01-02,backbone,True
MXEU0RL,MSCI Europe Real Estate GICS L,10. European Sectors (MSCI Europe),2016-08-31,2017-01-02,tradable-only,True
M1USQU,MSCI USA Quality Net Total Ret,11. Factor / Style - US,1994-06-01,1995-01-03,backbone,False
M1USMMT,MSCI USA Momentum USD Net Tota,11. Factor / Style - US,1994-05-31,1995-01-03,backbone,False
M1USMVOL,MSCI USA Minimum Volatility Ne,11. Factor / Style - US,1988-05-31,1995-01-03,backbone,False
M1US000G,MSCI USA Growth Net Total Retu,11. Factor / Style - US,1974-12-31,1999-01-04,backbone,False
M1US000V,MSCI USA Value Net Total Retur,11. Factor / Style - US,1974-12-31,2001-01-02,backbone,False
M1CXNNA,MSCI USA High Dividend Yield N,11. Factor / Style - US,2016-05-13,2017-01-03,tradable-only,False
M1EA000V,MSCI EAFE Value Net Total Retu,12. Factor / Style - EAFE,1974-12-31,2001-01-02,backbone,False
M1EA000G,MSCI EAFE Growth Net Total Ret,12. Factor / Style - EAFE,1974-12-31,2001-01-02,backbone,False
M1EAHDVD,MSCI EAFE HIGH DIVIDEND YIELD,12. Factor / Style - EAFE,1995-06-30,2001-01-02,backbone,False
M1EAMVOL,MSCI EAFE Minimum Volatility N,12. Factor / Style - EAFE,2001-11-30,2002-01-02,second,False
