ticker,name,section,first_daily,tier,hedged,investable,cost_bucket,reporting_class,not_investable_because,source_file
NDDUPXJ,MSCI Pacific ex Japan Net Tota,7. Equity Regions - Developed ex-US,1999-01-04,backbone,False,True,mid,APAC ex-Japan Equities,,bbg_index_coverage.csv
LD20TRUU,Bloomberg US Treasury Bills To,1. Risk-Free / Cash,1998-01-02,backbone,False,True,low,Cash,,bbg_index_coverage.csv
BCOMTR,Bloomberg Commodity Index Tota,15. Real Assets,1970-01-01,backbone,False,True,high,Commodities,,bbg_index_coverage.csv
M1CXVRSD,MSCI WORLD ex USA MINIMUM VOLA,13. Factor / Style - World ex-US,2016-01-04,tradable-only,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1EA000G,MSCI EAFE Growth Net Total Ret,12. Factor / Style - EAFE,2001-01-02,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1EA000V,MSCI EAFE Value Net Total Retu,12. Factor / Style - EAFE,2001-01-02,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1EAHDVD,MSCI EAFE HIGH DIVIDEND YIELD,12. Factor / Style - EAFE,2001-01-02,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1EAMM,MSCI EAFE MOMENTUM USD Net Tot,12. Factor / Style - EAFE,2017-01-02,tradable-only,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1EAMVOL,MSCI EAFE Minimum Volatility N,12. Factor / Style - EAFE,2002-01-02,second,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1EAQU,MSCI EAFE Quality Net Total Re,12. Factor / Style - EAFE,2015-02-18,tradable-only,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1WDU00G,MSCI ACWI ex USA Growth Net To,13. Factor / Style - World ex-US,2001-01-01,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1WDUMMT,MSCI ACWI ex USA MOMENTUM USD,13. Factor / Style - World ex-US,2018-01-01,tradable-only,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1WDUQU,MSCI ACWI ex USA QUALITY Net T,13. Factor / Style - World ex-US,1999-01-04,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
M1WOUDY,MSCI World Ex USA High Dividen,13. Factor / Style - World ex-US,1999-01-04,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
MXCA,MSCI Canada Index,7. Equity Regions - Developed ex-US,1972-01-03,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
NDUVWXUS,MSCI World ex USA Value Net To,13. Factor / Style - World ex-US,1999-01-01,backbone,False,True,mid,DM ex-US Equities,,bbg_index_coverage.csv
I12877US,Bloomberg: EM USD Aggregate: C,5. Credit,2006-01-03,second,False,True,high,EM Corporate Bonds,,bbg_index_coverage.csv
